Domain,Location on Site,Tech Spend USD,Company,Vertical,Quantcast,Alexa,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,GDPR
"hcelmis.ga","hcelmis.ga","$10","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-05-02","2018-08-03","2018-05-02","2018-08-03","-","Non-EU"
"hiphopbookclub.com","hiphopbookclub.com","$50","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+61-4-46699721","","","","","","","","","","","","","","","","","2013-11-12","2018-08-21","2011-04-03","2018-08-21","-","Non-EU"
"hotblondewife.com","hotblondewife.com","$0","Associated Newspapers Ltd","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-780-222-0102","","","","","","","","","","","","","Beverly Hills","CA","90210","US","2013-11-12","2018-08-03","2011-01-03","2018-08-03","-","Non-EU"
"hundetreff.no","hundetreff.no","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2017-05-31","2018-08-03","2017-05-31","2018-08-03","-","Non-EU"
"laestrella.com.pa","laestrella.com.pa","$1000","","Technology And Computing","192045","12939","36056","87651","ph:","","https://twitter.com/estrellaonline","https://facebook.com/estrellaonlinepma","","https://google.com/+laestrelladepanama","","","https://instagram.com/estrellaonline","","","","","","","","","2014-04-09","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"largecapdirectory.com","largecapdirectory.com","$500","IntegrityMessageBoards.com LLC","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-404-584-0108;+1-314-431-9442","","","","","","","","","","","","","Atlanta","GA","30312","US","2013-11-12","2018-08-07","2013-02-28","2018-08-07","-","Non-EU"
"ledacitys.cf","ledacitys.cf","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-07-02","2018-08-03","2018-07-02","2018-08-03","-","Non-EU"
"lezzetli.com","lezzetli.com","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","ozerersan@gmail.com","https://twitter.com/lezzetlicom","https://facebook.com/lezzetlicom","","","https://pinterest.com/lezzetlicom","","","","","","","Istanbul","","34752","TR","2013-10-24","2018-08-21","2013-06-06","2018-08-21","-","Non-EU"
"lintkbacks.tk","lintkbacks.tk","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-06-01","2018-08-03","2018-05-31","2018-08-03","-","Non-EU"
"logisticaprofesional.com","logisticaprofesional.com","$5000","","Travel","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+34-912-972000;+34-902-999829","info@logisticaprofesional.com","https://twitter.com/logisticaprof","https://facebook.com/logisticaprofesional","","","","","","","","","","Madrid","M","28022","ES","2013-12-15","2018-08-07","2012-12-06","2018-08-22","-","Spain"
"rbkweb.no","rbkweb.no","$50","","","Outside Top 1m","157979","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-10-24","2018-08-07","2011-12-04","2018-08-20","-","Non-EU"
"revistaaral.com","revistaaral.com","$5000","","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+34-912-972000;+34-902-999829","info@revistaaral.com","https://twitter.com/revistaaral","https://facebook.com/revistaaral","https://linkedin.com/company/revista-aral","","","","","","","","","Madrid","M","28022","ES","2014-01-11","2018-07-27","2014-01-11","2018-07-27","-","Spain"
"revistahosteleria.com","revistahosteleria.com","$5000","","Travel","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","info@revistahosteleria.com","https://twitter.com/hosteleria_","https://facebook.com/revistahosteleria","https://linkedin.com/company/revista-hosteler�a","","","","","","","","","","","","","2015-11-11","2018-07-27","2015-07-20","2018-08-03","-","Non-EU"
"revistapq.com","revistapq.com","$5000","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","info@revistapq.com","https://twitter.com/revista_pq","","https://linkedin.com/company/revista-pq","","","","","","","","","","","","","2015-11-04","2018-07-27","2015-10-28","2018-08-03","-","Non-EU"
"rockwennys.gq","rockwennys.gq","$250","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-06-02","2018-08-03","2018-05-31","2018-08-03","-","Non-EU"
"rosenborg.info","rosenborg.info","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2013-11-12","2018-08-24","2013-02-28","2018-08-24","-","Non-EU"
"730.no","730.no","$250","","Technology And Computing","Outside Top 1m","173229","745033","Outside Top 1m","ph:","janne@730.no;gisle@730.no;post@730.no;sindre@730.no","","","","","","","","","","","","","","","","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"femelle.no","femelle.no","$100","","Technology And Computing","Outside Top 1m","Outside Top 1m","511526","Outside Top 1m","ph:","kontakt@femelle.no","","https://facebook.com/femelleno","","","https://pinterest.com/fashiondelirium","","https://instagram.com/femelleno","","","","","New York City","NY","10025","","2013-10-24","2018-08-20","2011-12-04","2018-08-20","-","Non-EU"
"finansiering123.no","finansiering123.no","$10","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2016-03-20","2018-08-17","2016-03-20","2018-08-17","-","Non-EU"
"folhadelondrina.com.br","folhadelondrina.com.br","$5000","","Technology And Computing","Outside Top 1m","105569","312598","248016","ph:","webmaster.folhaweb@folhadelondrina.com.br;redacao.folhaweb@folhadelondrina.com.br","https://twitter.com/folhaweb","https://facebook.com/folhaweb","","https://google.com/+folhadelondrina","","","https://instagram.com/folhadelondrina","","","","","","","","","2013-10-24","2018-07-28","2012-01-06","2018-08-20","-","Non-EU"
"forward.com","forward.com","$10000","The Forward Association Inc","Art And Entertainment","4604","36627","3917","27061","ph:+1-212-453-9454;+1-646-452-5637;+1-212-453-9413","amzallag@forward.com;coleman@forward.com;website@forward.com;cohleresses@forward.com;langer@forward.com;norich@forward.com;rachel@forward.com;banner@forward.com;classifieddesk@forward.com;compliance@forward.com;subscriptions@forward.com;wallach@forward.com;batya@forward.com;chambard@forward.com;kuperman@forward.com;sarid@forward.com;greenberg@forward.com;shapiro@forward.com;caplan@forward.com;chernikoff@forward.com;pink@forward.com","https://twitter.com/jdforward","https://facebook.com/jewishdailyforward","","","","","https://instagram.com/jdforward","","","","David Kelsey - Support - kelsey@forward.com; Kim Rosenberg - Director - rosenberg@forward.com; David Coleman - Director - coleman@forward.com; Oren Segal - Director - segal@forward.com; Merrill Zack - Director - zack@forward.com; Deb Greenberg - Manager - greenberg@forward.com; Jon Banner - President - banner@forward.com","New York","NY","","","2014-06-04","2018-08-01","2011-01-03","2018-08-20","-","Non-EU"
"frageolas.gq","frageolas.gq","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-08-03","2018-08-03","2018-05-02","2018-08-03","-","Non-EU"
"gc-arabic.com","gc-arabic.com","$50","Al Hilal Group","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2017-10-23","2018-08-03","2017-10-23","2018-08-03","-","Non-EU"
"gcarabic.com","gcarabic.com","$50","Al Hilal Group","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","alghata@hcc.com.bh","","","","","","","","","","","Ali Hassan - Other - noemail","Manama","","10865","BH","2014-12-08","2018-08-03","2013-01-31","2018-08-03","-","Non-EU"
"gdnmarketplace.com","gdnmarketplace.com","$100","","Business And Industrial","Outside Top 1m","604630","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2018-02-15","2018-08-07","2017-10-16","2018-08-07","-","Non-EU"
"gdnonline.com","gdnonline.com","$50","Al Hilal Group","Sports","Outside Top 1m","116844","70914","211963","ph:","webmaster@gdnonline.com;advertising@gdnonline.com;info@gdnonline.com","https://twitter.com/gdnonline","","","","","","https://instagram.com/gdnonline","","","","","","","","","2015-06-20","2018-08-21","2015-04-06","2018-08-21","-","Non-EU"
"gratuit-videos-sex.com","gratuit-videos-sex.com","$50","","Style And Fashion","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2014-01-11","2018-08-03","2014-01-11","2018-08-03","-","Non-EU"
"guiasgtp.com","guiasgtp.com","$5000","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-14","2018-08-06","2011-12-04","2018-08-06","-","Non-EU"
"gulfconnexions.com","gulfconnexions.com","$250","Connexions Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","jobs@gulfconnexions.com;china@gulfconnexions.com","https://twitter.com/gulfconnexions7","https://facebook.com/gulfconnexions","","","","","","","","","N/A - Director - n/a@gulfconnexions.com; N/A - Csuite - n/a@gulfconnexions.com","Teddington","LONDON","TW11","GB","2016-10-26","2018-08-07","2011-11-06","2018-08-07","-","United Kingdom"
"gulfconstructionmagazine.com","gulfconstructionmagazine.com","$50","Al Hilal Group","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+44-208-9433630","","","","","","","","","","","https://youtube.com/user/gulfconstruction","","Teddington","LONDON","TW11","","2015-01-27","2018-08-03","2015-01-27","2018-08-03","-","Non-EU"
"gulfconstructiononline.com","gulfconstructiononline.com","$100","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","editor@gulfconstructiononline.com","","","","","","","","","","https://youtube.com/user/gulfconstruction","","Teddington","LONDON","TW11","GB","2013-11-12","2018-08-21","2013-02-28","2018-08-21","-","United Kingdom"
"gulfconstructionworldwide.com","gulfconstructionworldwide.com","$100","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","https://youtube.com/user/gulfconstruction","","Teddington","LONDON","TW11","GB","2013-10-24","2018-08-03","2011-04-03","2018-08-03","-","United Kingdom"
"gulfindustryonline.com","gulfindustryonline.com","$100","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","editor@gulfindustryonline.com","","","","","","","","","","https://youtube.com/user/gulfindustryonline","","Teddington","LONDON","TW11","GB","2013-11-12","2018-08-05","2013-02-28","2018-08-21","-","United Kingdom"
"gulfindustryworldwide.com","gulfindustryworldwide.com","$100","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","https://youtube.com/user/gulfindustryonline","","Teddington","LONDON","TW11","GB","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","United Kingdom"
"gulfweekly.com","gulfweekly.com","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+44-208-9433630","editor@gulfweekly.com","https://twitter.com/gulfweekly","https://facebook.com/gulfweeklyonline","","","","","https://instagram.com/gulfweekly","","","","N/A - Sales - noemail; N/A - Sales - noemail","Teddington","LONDON","TW11","GB","2013-11-12","2018-08-07","2012-05-31","2018-08-07","-","United Kingdom"
"pcbeach.org","pcbeach.org","$250","","","Outside Top 1m","Outside Top 1m","291340","Outside Top 1m","ph:+1-850-235-2301","chamber@pcbeach.org;info@pcbeach.org;feedback@pcbeach.org","","","","","","","","","","","","Panama City Beach","FL","32407","US","2013-10-24","2018-08-26","2011-01-03","2018-08-26","-","Non-EU"
"pcbeachjobs.com","pcbeachjobs.com","$250","","","Outside Top 1m","Outside Top 1m","873375","Outside Top 1m","ph:+1-850-235-2301","","","","","","","","","","","","","Panama City Beach","FL","32407","","2017-11-25","2018-08-03","2017-11-25","2018-08-03","-","Non-EU"
"pengerik.com","pengerik.com","$5000","","Technology And Computing","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-07","2018-08-23","2013-02-28","2018-08-23","-","Non-EU"
"pixelcorps.tv","pixelcorps.tv","$50","","Technology And Computing","Outside Top 1m","Outside Top 1m","935158","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-23","2011-12-04","2018-08-23","-","Non-EU"
"posventa.com","posventa.com","$5000","","Automotive And Vehicles","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+34-912-972000;+34-902-999829","info@posventa.com","https://twitter.com/posventaauto","https://facebook.com/posventadeautomocion","https://linkedin.com/company/posventa-de-automoci�n","","","","","","","","","Madrid","M","28022","ES","2014-05-14","2018-07-27","2014-02-23","2018-07-27","-","Spain"
"proboat.com","proboat.com","$250","","Art And Entertainment","189804","Outside Top 1m","373796","Outside Top 1m","ph:+1-207-632-7369;+1-802-879-8324;+1-207-359-4651;+1-937-890-0221","","https://twitter.com/proboat","https://facebook.com/proboatmagazine","","","","","","","","https://youtube.com/user/proboatmagazine","Kate Holden - Marketing - kate@proboat.com; Tina Sanderson - Sales - tina@proboat.com; Todd Richardson - Director - todd@proboat.com; Anne Dunbar - Director - anne@proboat.com","Brooklin","ME","04616","US","2013-10-24","2018-08-22","2011-01-03","2018-08-26","-","Non-EU"
"projectorreviews.com","projectorreviews.com","$5000","","Technology And Computing","879263","280723","127123","Outside Top 1m","ph:+1-513-659-8374","reviewer@projectorreviews.com;webmaster@projectorreviews.com","https://twitter.com/projectorreview","https://facebook.com/projectorreviews","","","","","","","","https://youtube.com/user/projectorreviews","Ron Jones - Other - noemail","San Clemente","CA","92672","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"projecttimes.com","projecttimes.com","$100","","Business And Industrial","842861","264240","322746","312275","ph:+1-866-782-8231","","https://twitter.com/projecttimes","https://facebook.com/projecttimes","","","","","","","","","Kathy Booker - Director - noemail","Portland","ME","04112","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"waeldheims.cf","waeldheims.cf","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-06-19","2018-08-03","2018-05-02","2018-08-03","-","Non-EU"
"whoopee.no","whoopee.no","$10","","Shopping","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2016-03-21","2018-08-03","2016-03-20","2018-08-03","-","Non-EU"
"wifelover.bz","wifelover.bz","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"wifelover.cc","wifelover.cc","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"wifelover.tv","wifelover.tv","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"wifelover.us","wifelover.us","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2011-10-02","2018-08-03","-","Non-EU"
"wifelovergirls.com","wifelovergirls.com","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2011-01-03","2018-08-03","-","Non-EU"
"wifeloverguys.com","wifeloverguys.com","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2011-01-03","2018-08-03","-","Non-EU"
"wifeloverposter.com","wifeloverposter.com","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"wifelovers.bz","wifelovers.bz","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"wifelovers.cc","wifelovers.cc","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2011-01-03","2018-08-03","-","Non-EU"
"wifelovers.com","wifelovers.com","$0","tarrob web services inc","Adult","Outside Top 1m","100614","Outside Top 1m","191649","ph:","","","","","","","","","","","","","","","","","2018-02-26","2018-08-20","2011-11-06","2018-08-20","-","Non-EU"
"wifelovers.com.mx","wifelovers.com.mx","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-10-24","2018-08-03","2011-01-03","2018-08-03","-","Non-EU"
"wifelovers.tv","wifelovers.tv","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"wifelovers2.com","wifelovers2.com","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2011-01-03","2018-08-03","-","Non-EU"
"wifeloversmovies.com","wifeloversmovies.com","$0","tarrob web services inc","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"wifeloverspicpost.com","wifeloverspicpost.com","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"wifelovertrade.com","wifelovertrade.com","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"wifeposter.net","wifeposter.net","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-10-24","2018-08-03","2011-01-03","2018-08-03","-","Non-EU"
"wifesex4u.com","wifesex4u.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"woodenboat.com","woodenboat.com","$500","","Art And Entertainment","33016","99477","55513","154065","ph:+1-603-569-4554;+1-207-359-8920","woodenboat@woodenboat.com;matt@woodenboat.com;wblibrary@woodenboat.com;wbstore@woodenboat.com;school@woodenboat.com","https://twitter.com/woodenboatmag","https://facebook.com/woodenboatpub","","","","","https://instagram.com/woodenboatmagazine","","","","","Wolfeboro Falls","NH","03896","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"ymislbegts.ga","ymislbegts.ga","$100","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-07-02","2018-08-03","2018-07-02","2018-08-03","-","Non-EU"
"yogaportalen.no","yogaportalen.no","$100","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","https://facebook.com/yogaportalen","","","","","https://instagram.com/yogaportalen.no","","","","","","","","","2014-07-17","2018-08-26","2013-03-19","2018-08-26","-","Non-EU"
"aaa.com","aaa.com","$10000","AAA Southern New England","Travel","Outside Top 1m","5081","1861","7526","ph:+1-800-222-4357;+1-800-562-2582;+1-844-446-3636;+1-855-669-6046;+1-866-636-2377;+1-833-345-5626;+1-855-332-2447;+1-855-292-9306;+1-302-674-8020;+1-610-337-6800;+1-800-444-8091;+1-513-559-1733;+1-800-763-9900;+1-717-657-2244;+1-208-734-6441;+1-503-489-2842","","https://twitter.com/aaa_washington","https://facebook.com/aaawashington","https://linkedin.com/company/aaaoklahomasouthdakota","","","","https://instagram.com/aaaoregonidaho","","","","Robert Elliott - Board - noemail; Peter Calihan - Board - noemail; Tom Hayes - Board - noemail; Kenneth Nilsson - Board - noemail; Bashir Wada - Board - noemail; Gilbert Chester - Board - noemail; Maria Hernandez - Board - noemail; Donald Smith - Board - noemail; Joseph Warren - Board - noemail; Margie Emmermann - Board - noemail; Robert Machen - Board - noemail; Daniel Whitehurst - Board - noemail; Paula Collins - Board - noemail; Shirley Ward - Board - noemail; Tim Condon - President - noemail; Mike Hetke - President - noemail; Karen Bianchini - President - noemail; David Polansky - President - noemail; Bill Sutherland - President - noemail; Bill Wood - President - noemail; Diego Pittelkow - President - noemail; Scott Denman - President - noemail; Ramon Millan - President - noemail; Scott Parker - President - noemail; Clay Creasey - Csuite - noemail","Bellevue","WA","98006","","2017-12-18","2018-08-05","2017-03-03","2018-08-26","-","Non-EU"
"aalbc.com","aalbc.com","$100","Aalbc.Com Llc","Art And Entertainment","Outside Top 1m","809515","67793","307394","ph:","troy@aalbc.com;earl@aalbc.com;goldiecd@aalbc.com;kola@aalbc.com;poets@aalbc.com;booksites@aalbc.com;howami@aalbc.com;gaby@aalbc.com;kam@aalbc.com","https://twitter.com/aalbc","https://facebook.com/aalbc","","","https://pinterest.com/aalbc","","https://instagram.com/aalbc","","https://vimeo.com/aalbc","","Troy Johnson - Founder - troy@aalbc.com","","","","","2013-11-07","2018-08-07","2011-01-03","2018-08-10","-","Non-EU"
"abc-bahrain.com","abc-bahrain.com","$50","Al Hilal Group","Business And Industrial","Outside Top 1m","602252","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Calvary","GA","31729","","2013-11-12","2018-08-20","2013-02-28","2018-08-20","-","Non-EU"
"abc-kuwait.com","abc-kuwait.com","$50","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Calvary","GA","31729","","2015-12-10","2018-08-07","2013-02-28","2018-08-10","-","Non-EU"
"abc-oman.com","abc-oman.com","$50","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Calvary","GA","31729","","2015-12-10","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"abc-qatar.com","abc-qatar.com","$50","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Calvary","GA","31729","","2015-12-10","2018-08-10","2013-02-28","2018-08-10","-","Non-EU"
"abc-saudiarabia.com","abc-saudiarabia.com","$50","Al Hilal Group","Business And Industrial","Outside Top 1m","757319","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2015-11-27","2018-08-20","2013-02-28","2018-08-20","-","Non-EU"
"abc-uae.net","abc-uae.net","$50","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Calvary","GA","31729","","2015-11-27","2018-08-03","2014-01-11","2018-08-10","-","Non-EU"
"abccommunities.com","abccommunities.com","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-06-02","2018-08-07","2018-05-31","2018-08-07","-","Non-EU"
"abcmarketplace.net","abcmarketplace.net","$50","","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","privacy@abcmarketplace.net","","","","","","","","","","","","","","","","2018-01-10","2018-08-03","2017-10-16","2018-08-03","-","Non-EU"
"additudemag.com","additudemag.com","$5000","New Hope Media LLC","Education","21902","21561","22352","27442","ph:+1-646-366-0830","susan@additudemag.com;wayne@additudemag.com;webmaster@additudemag.com;letters@additudemag.com;submissions@additudemag.com;advertise@additudemag.com;productreviews@additudemag.com;nnect@additudemag.com;wendy@additudemag.com;linking@additudemag.com;directory@additudemag.com;listing@additudemag.com;customerservice@additudemag.com","https://twitter.com/additudemag","https://facebook.com/additudemag","","","https://pinterest.com/additudemag","","https://instagram.com/additudemag","","","","","New York City","NY","10018","US","2018-02-20","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"adoptivefamilies.com","adoptivefamilies.com","$500","Adoptive Families","","80749","557155","133279","Outside Top 1m","ph:+1-646-366-0830;+1-800-779-8328;+1-800-550-0324","letters@adoptivefamilies.com;susan@adoptivefamilies.com;ity@adoptivefamilies.com;advertising@adoptivefamilies.com;etters@adoptivefamilies.com;unity@adoptivefamilies.com;submissions@adoptivefamilies.com;digital@adoptivefamilies.com;abbey@adoptivefamilies.com;eve@adoptivefamilies.com","https://twitter.com/adoptioncircle","https://facebook.com/adoptivefamilies","","","https://pinterest.com/adoptioncircle","","","","","","Jackie Palmer - Director - jackie@adoptivefamilies.com; Janis Fry - Manager - janis@adoptivefamilies.com","New York City","NY","10018","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"adoptivefamiliescircle.com","adoptivefamiliescircle.com","$250","","","38899","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-646-366-0830","","https://twitter.com/adoptioncircle","https://facebook.com/adoptivefamilies","","","https://pinterest.com/adoptioncircle","","","","","","Cleveland Adoption - Support - noemail","New York City","NY","10018","US","2013-10-24","2018-08-20","2011-04-03","2018-08-20","-","Non-EU"
"adultvideo4u.com","adultvideo4u.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"adwhords.gq","adwhords.gq","$250","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-07-02","2018-08-10","2018-05-02","2018-08-10","-","Non-EU"
"aidaheidelberg.co.za","aidaheidelberg.co.za/*","$50","","Real Estate","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+61-73-1246097","","","","","","","","","","","","","","","","","2017-07-06","2018-08-11","2012-01-06","2018-08-11","-","Non-EU"
"amateurgirl4u.com","amateurgirl4u.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2011-11-06","2018-08-03","-","Non-EU"
"amateurguy4u.com","amateurguy4u.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2011-04-03","2018-08-03","-","Non-EU"
